,FAN_ACTUAL
17529,5.5
1002,6.9
5157,4.7
10855,8.420000000000002
21411,1.5
7654,10.9
11897,3.7
13885,3.5
18159,1.4
19840,4.2
8319,2.1
18530,8.0
12608,0.9
21978,41.66
6501,0.5
13477,23.42
9299,9.8
2146,1.0
8508,10.0
2662,4.66
11333,-0.2
17810,9.0
8819,-5.499999999999999
4339,0.4
3194,1.5
14929,0.7000000000000001
2953,4.3
9645,33.980000000000004
8432,2.6
5449,9.36
2737,5.000000000000001
13687,3.6
4245,12.3
2310,0.7000000000000001
10004,27.12
6355,6.6000000000000005
16071,2.9
17349,8.700000000000001
3795,6.9
20649,-0.5
1280,5.0
8590,0.7000000000000001
4436,19.200000000000006
5106,10.1
19428,3.6
13213,3.66
17597,5.700000000000001
16408,1.2000000000000002
12124,7.9
16228,4.9
9298,10.3
12432,-0.2
9593,3.5
4625,25.4
9006,2.2
222,8.8
3545,0.7000000000000001
15737,3.9
20750,0.9
2442,1.4
16490,4.2
15315,3.7
1972,0.8
1570,1.4
12877,14.1
2281,4.5
11419,6.8000000000000025
2821,16.8
2021,0.8
11006,6.5
20672,0.8
13175,8.9
13229,0.2
9092,20.52
20901,0.7000000000000001
2556,1.2000000000000002
19135,0.2
12510,4.1000000000000005
18451,3.9
20519,1.1
3344,5.0
902,4.2
9586,1.2000000000000002
181,22.94
16360,16.0
15430,9.2
11896,4.5
7700,0.2
1853,0.1
12396,19.24
20637,8.0
21825,10.3
16332,39.7
11208,2.3000000000000003
9602,0.9
1458,37.6
21055,3.1000000000000005
626,15.140000000000002
8344,1.7400000000000004
3966,2.1
15437,8.1
1926,15.9
4983,3.1
13710,5.7
18808,2.1000000000000005
9326,4.5
19920,3.2
20434,0.9
13294,1.2000000000000002
3656,12.2
9016,18.92
16924,12.9
9162,1.3
8465,10.5
8103,7.6
14945,10.6
18304,3.6
5091,3.4000000000000004
7918,0.3400000000000003
14699,0.6000000000000001
13227,23.4
14999,0.4
4930,6.1
7324,-0.26
9770,2.6
9835,19.4
10439,4.5
10611,2.7
248,6.4
9402,0.6000000000000001
13370,1.3
18751,2.0
10818,1.2000000000000002
3999,9.4
17994,34.9
8607,22.1
10030,0.8
5034,20.0
10333,1.3
17558,1.8
2086,11.900000000000002
4980,7.9
12918,1.4
9899,36.76
8360,31.8
19919,37.8
21222,6.1
2589,12.6
6281,0.4
7683,7.3
8861,3.2
5146,2.7
4527,1.1
18543,18.6
5035,1.9
18436,26.8
8081,17.36
12514,0.7000000000000001
4254,2.0
17593,5.88
20701,7.5
15473,4.9
16529,19.4
6149,3.2
14543,2.0
21742,0.0
14966,5.7
4229,2.5
10868,1.5
22035,2.3000000000000003
12346,0.9
884,8.5
21798,2.6000000000000005
1039,0.5
2897,1.3
5566,7.1
7030,17.28
8105,9.7
2445,7.3000000000000025
16031,29.88000000000001
12188,4.2
17552,11.400000000000002
18229,0.2
21216,7.6
7779,19.86
2095,3.2
3857,25.8
20451,7.7
7223,6.4
3477,28.5
5290,5.9
1010,3.9
15028,2.5
5363,10.38
20473,6.3400000000000025
8059,0.3000000000000003
15071,10.6
10127,4.5
5314,4.5
8644,2.2
11476,20.02
9811,3.06
13384,0.8
934,3.0
19637,3.8
14723,4.300000000000002
15163,7.1
21128,2.8000000000000003
1343,14.6
7559,3.5
359,2.2
19345,14.9
20598,0.0
959,6.1000000000000005
21559,4.9
1148,7.8000000000000025
2954,4.800000000000002
5764,33.800000000000004
2051,1.4
19884,12.0
2054,26.82
11537,14.0
22197,6.4
7582,7.6
16628,1.0
10545,0.6000000000000001
16854,22.1
6778,11.900000000000002
6006,1.4
6919,-0.2
18386,2.3000000000000003
9570,4.800000000000002
20612,0.6000000000000001
19368,7.2
13343,6.8400000000000025
11142,2.9000000000000004
16213,9.8
10992,26.58
17513,4.4
10242,1.6
11015,1.6
17278,7.9
3608,26.56
13309,9.46
12896,7.3000000000000025
15080,0.1
13684,-0.1
10152,15.0
16565,10.8
22305,13.6
6899,1.5
19380,14.1
1236,0.1
16259,4.1000000000000005
9010,8.0
12135,1.0
10363,10.0
10761,1.4
15365,8.6
2394,12.2
15842,2.2
13292,17.62
5918,4.2
18346,0.4
12706,0.6000000000000001
10908,-0.1
9742,2.1
16251,1.1
16143,18.94
19369,20.3
20905,1.2000000000000002
13517,2.4000000000000004
7267,1.7000000000000002
9115,3.3000000000000003
17813,7.399999999999999
1327,15.38
3537,1.8
5735,1.2000000000000002
20776,32.32
18992,7.96
3276,0.9
2746,3.7
6725,2.0
102,0.4
14524,15.1
1661,1.4
9199,0.6000000000000001
11967,8.1
9723,1.9
19589,4.3
10834,1.5
17794,2.4000000000000004
11320,4.2
9242,9.9
1694,2.3000000000000003
6723,2.2
17624,14.9
16966,8.4
6399,2.3000000000000003
8165,0.4000000000000004
18465,20.8
268,2.2
518,22.3
12487,3.3000000000000003
9478,3.8
20726,1.2000000000000002
14488,2.0
16445,25.92
2358,4.6000000000000005
6023,0.7000000000000001
16020,-0.9999999999999998
937,1.7000000000000002
14401,2.4000000000000004
16329,5.8000000000000025
15113,19.8
19195,-5.6999999999999975
6688,6.9
6503,9.5
2134,1.1
4965,6.7
10424,0.5
21943,6.1
2774,2.1
17581,4.7
12590,2.1
3119,18.500000000000004
16795,-0.6000000000000001
14773,11.6
